idade;mulheres;nasc_v;nasc_12v
15 a 19 anos;167031;51933;18425
20 a 24 anos;145467;178895;26160
25 a 29 anos;117598;246138;16134
30 a 34 anos;94649;279335;8890
35 a 39 anos;82246;296218;4461
40 a 44 anos;65299;281733;1366
45 a 49 anos;50079;247270;353
