idade;mulheres;nasc_v;nasc_12v
15 a 19 anos;182215;44285;14853
20 a 24 anos;169198;156926;21122
25 a 29 anos;162253;265662;17164
30 a 34 anos;143038;328559;9994
35 a 39 anos;115961;319170;4720
40 a 44 anos;93727;298215;1453
45 a 49 anos;77188;276350;425
