idade;mulheres;nasc_v;nasc_12v
15 a 19 anos;195000;31000;11000
20 a 24 anos;154000;74000;15000
25 a 29 anos;157000;109000;13000
30 a 34 anos;152000;121000;13000
35 a 39 anos;118000;98000;5000
40 a 44 anos;112000;94000;1000
45 a 49 anos;95000;82000;0
