"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.15692025778,0.15692025778,0.174743805759395,1,0.898001832443,0.797703848466099,39.999178799851,39.999178799851
"1",1,0.1375524923,0.115967719750002,0.0375237231730153,0.84307974222,3.09051740988749,0.881820029914988,39.101176967408,46.378978178798
"5",5,0.05921506208,0.0430559835496752,0.0122417037005254,0.727112022469998,3.51715615758838,0.957696082234111,36.0106595575205,49.5256005191503
"10",10,0.03162114342,0.0216306341140166,0.0064216981747116,0.684056038920322,3.36836667272797,0.967608967924633,32.4935033999322,47.5012302372451
"15",15,0.0332523128,0.0220271767672859,0.0067583330583339,0.662425404806306,3.25926179979004,0.964385736451141,29.1251367272042,43.9674211101859
"20",20,0.03826105548,0.0245023121322946,0.00779537555842969,0.64039822803902,3.14318559107759,0.958859267640058,25.8658749274141,40.3902974663417
"25",25,0.04438449198,0.0273362273400768,0.00907013356584517,0.615895915906725,3.01387263391744,0.952235897389147,22.7226893363366,36.8937165346909
"30",30,0.05159539754,0.0303669711076148,0.0105811295490424,0.588559688566648,2.86991771217497,0.944939128867188,19.7088167024191,33.486521563203
"35",35,0.05901937476,0.0329441851800175,0.0121480198493178,0.558192717459034,2.71189754286313,0.938490831027693,16.8388989902441,30.1668195652875
"40",40,0.06437562232,0.0338132011381283,0.0132856551775935,0.525248532279016,2.54509097866357,0.933119648099685,14.127001447381,26.8958418333602
"45",45,0.06978050832,0.0342926072134187,0.0144397561557927,0.491435331140888,2.37487439839223,0.923058532913077,11.5819104687174,23.5675168934833
"50",50,0.08528111746,0.0389856423352428,0.017784219380941,0.457142723927469,2.19214807803276,0.901484229521538,9.20703607032521,20.1403972729226
"55",55,0.11419002958,0.0477493695161028,0.0241623750292715,0.418157081592226,1.97618692112248,0.864091651993049,7.01488799229245,16.7757244851186
"60",60,0.16246955084,0.0601799746086798,0.0352422940139267,0.370407712076123,1.70760662131979,0.805182473949192,5.03870107116996,13.603121390017
"65",65,0.23665915682,0.0734182347712215,0.0533976070399777,0.310227737467444,1.37493492388629,0.71932095978105,3.33109444985018,10.737577745445
"70",70,0.34315205924,0.0812616684978089,0.0821638681049643,0.236809502696222,0.989019509086369,0.601204161139464,1.95615952596389,8.26047731907635
"75",75,0.47094587366,0.0732546106724925,0.123199268239712,0.155547834198413,0.594602644310835,0.458761115989823,0.967140016877522,6.21763730662981
"80",80,0.621248492362715,0.0511245410471461,0.187420022422726,0.0822932235259206,0.272780572674538,0.310294374751833,0.372537372566688,4.52695078166851
"85",85,0.780752604118838,0.0243350300122564,0.28750443401397,0.0311686824787745,0.0846422772424927,0.167277297919536,0.0997567998921493,3.20054593132329
"90",90,0.906711465447192,0.00619615104227346,0.437620494058531,0.00683365246651812,0.0141587314268804,0.0632366132183369,0.0151145226496565,2.2117780679821
"95",95,1,0.00063750142424466,0.678097088474662,0.00063750142424466,0.000940132961901785,0,0.000955791222776124,1.4992769999041
