"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.46488458144,0.46488458144,0.693928067467961,1,0.6699319471776,0.495423685380392,19.9207743541905,19.9207743541905
"1",1,0.22565577048,0.120751882070884,0.0668176103715108,0.53511541856,1.80718647972436,0.807175683318163,19.2508424070129,35.9751218883154
"5",5,0.06349095304,0.0263083358367188,0.0131576562834655,0.414363536489116,1.9994697588946,0.956555863910135,17.4436559272885,42.0974685057664
"10",10,0.02971171008,0.0115297836168202,0.00602831556690949,0.388055200652397,1.91260452258162,0.963222278895663,15.4441861683939,39.7989413424411
"15",15,0.04466696944,0.0168182492961114,0.00912912362527233,0.376525417035577,1.84226328686722,0.945664270820613,13.5315816458123,35.9380297679447
"20",20,0.06529995776,0.0234888628593563,0.0134825895659943,0.359707167739465,1.74216256783487,0.933970886774202,11.6893183589451,32.4967623870416
"25",25,0.06687421688,0.0224843358395784,0.013818409114261,0.336218304880109,1.62712911838556,0.929359369359024,9.94715579111024,29.5854081908398
"30",30,0.07501333328,0.0235342307808945,0.0155630355384119,0.313733969040531,1.51218769132851,0.91729884914187,8.32002667272469,26.5193682984639
"35",35,0.09170503096,0.0266127759816838,0.0191855224798387,0.290199738259636,1.38712802894214,0.89919586826655,6.80783898139618,23.459149281883
"40",40,0.11165672864,0.0294312579201112,0.0235959775668026,0.263586962277952,1.24729979238149,0.878400203391999,5.42071095245404,20.5651709993832
"45",45,0.1337253536,0.0313125543627093,0.0285795390214573,0.234155704357841,1.0956283913187,0.854037191305667,4.17341116007255,17.8232307921684
"50",50,0.16126654992,0.0327118149746199,0.0349594490575774,0.202843149995132,0.93570739403657,0.820426573450862,3.07778276875385,15.1732152100168
"55",55,0.20321913864,0.0345739433585417,0.0450369670836996,0.170131335020512,0.767679211042059,0.769068633418321,2.14207537471728,12.5907163101907
"60",60,0.26860995768,0.036412065237533,0.0616737609718101,0.13555739166197,0.590398001739771,0.689855749078575,1.37439616367522,10.1388507614727
"65",65,0.37166475536,0.0368488234906258,0.0904733058292702,0.0991453264244371,0.407289455744684,0.581208814125623,0.783998161935447,7.90756549208565
"70",70,0.50004340512,0.0311509554540911,0.131593977254131,0.0622965029338113,0.236720221579238,0.441862800521202,0.376708706190763,6.04702813881876
"75",75,0.6566572944,0.0204519509406398,0.195529343826438,0.0311455474797202,0.104597860047002,0.281693200980851,0.139988484611525,4.49465480427581
"80",80,0.767295879007033,0.00820515255620027,0.278475822834118,0.0106935965390804,0.029464506012387,0.184685167838028,0.0353906245645232,3.30951559984388
"85",85,0.884719262681968,0.0022015743257591,0.404577912463778,0.00248844398288014,0.00544165723816226,0.0864878366557571,0.00592611855213621,2.38145547695926
"90",90,0.959285381960551,0.000275189868604252,0.584717677689752,0.000286869657121043,0.000470637162350796,0.0285350991387917,0.000484461313973952,1.68878548828026
"95",95,1,1.16797885167909e-05,0.850027329156809,1.16797885167909e-05,1.37404858834089e-05,0,1.3824151623156e-05,1.18359605598015
