"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.1466483618,0.1466483618,0.16209996290512,1,0.90467856483,0.821239246098989,44.999300531306,44.999300531306
"1",1,0.0940894139,0.0802913554888428,0.0250791542867113,0.8533516382,3.20151766566494,0.927200589566908,44.094621966476,51.6722766941493
"5",5,0.0272982817,0.0211032173685308,0.0055428774058697,0.773060282711157,3.80726756579233,0.97743068135356,40.893104300811,52.8976914418589
"10",10,0.021302854,0.0160188315772624,0.00430458679230405,0.751957065342626,3.7213401309277,0.975281679001712,37.0858367350187,49.3190880760202
"15",15,0.0284989484,0.0209734657496662,0.0057788413121764,0.735938233765364,3.62935485102762,0.967915720467099,33.364496604091,45.3360011388244
"20",20,0.03608232845,0.0257975935897205,0.00734365423925636,0.714964768015698,3.51290961546316,0.96175149394169,29.7351417530634,41.589660194851
"25",25,0.0406830422,0.0280374172400268,0.00829866358275561,0.689167174425977,3.37854607075382,0.956796539242307,26.2222321376002,38.049160074174
"30",30,0.0460497082,0.0304448324007499,0.00941811841019971,0.66112975718595,3.23258118816795,0.951547720818933,22.8436860668464,34.5525001991724
"35",35,0.05118070775,0.0322789008177621,0.0104939435293212,0.630684924785201,3.07595526196337,0.946379899117257,19.6111048786784,31.0949320460729
"40",40,0.0564053266,0.0337532872212908,0.0115949946611787,0.598406023967439,2.9110222305061,0.940180413937293,16.5351496167151,27.63199057905
"45",45,0.06373946945,0.03599066586369,0.0131502242830975,0.564652736746148,2.73688608565788,0.926884034017934,13.624127386209,24.1283296787314
"50",50,0.08396537265,0.0443893077875663,0.0174983157805244,0.528662070882458,2.53677601572213,0.90419508662504,10.8872413005511,20.5939519783929
"55",55,0.1098067521,0.0531764192459428,0.0231832769875374,0.484272763094892,2.2937404092842,0.867576693648415,8.35046528482895,17.2433098063636
"60",60,0.1599468437,0.0689524995292493,0.0346495717670546,0.431096343848949,1.98999572037455,0.813505257734261,6.05672487554476,14.0495853466736
"65",65,0.220730937,0.0799363500854694,0.0493778081307379,0.362143844319699,1.61887198139337,0.738180169170902,4.06672915517021,11.2295962473412
"70",70,0.31894126735,0.0900076158667332,0.0753189709312726,0.28220749423423,1.19501919309099,0.625114979041035,2.44785717377684,8.67396232838926
"75",75,0.44531764705,0.0855899975979099,0.114574567905788,0.192199878367497,0.74702439784271,0.484625260531608,1.25283798068585,6.51841193307289
"80",80,0.597433731868747,0.0636923389222566,0.175932617378674,0.106609880769587,0.36202689342799,0.331838803166128,0.505813582843139,4.7445281731094
"85",85,0.761371552177248,0.0326761954519339,0.271996604907508,0.0429175418473304,0.120134571029096,0.182955650175438,0.143786689415149,3.35030114088636
"90",90,0.895269006186868,0.00916876000942208,0.417154350402675,0.0102413463953965,0.0219792985511755,0.0707260046467576,0.0236521183860532,2.30947352749292
"95",95,1,0.00107258638597441,0.6536209178556,0.00107258638597441,0.00164099152379234,0,0.00167281983487766,1.55961315261144
