"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.21683822355,0.21683822355,0.25498930948635,1,0.8503816257505,0.747634013991078,39.9917759087766,39.9917759087766
"1",1,0.1132394058,0.0886847742104704,0.0307102739428298,0.78316177645,2.88778844420489,0.911533620007769,39.1413942830261,49.9786831533714
"5",5,0.0339914732,0.0236062964096413,0.00692781223923554,0.69447700223953,3.40746769607113,0.975171484726502,36.2536058388212,52.2027449748683
"10",10,0.0195567967,0.0131200820059006,0.00394842423441818,0.670870705829888,3.32286533233528,0.977071111446645,32.84613814275,48.9604596792139
"15",15,0.02665485605,0.0175322481948261,0.00540006138222611,0.657750623823988,3.24667572345236,0.969451605356767,29.5232728104148,44.8852068566264
"20",20,0.03488190385,0.0223320358216996,0.00709517755460402,0.640218375629162,3.14749499217373,0.962245774920859,26.2765970869624,41.0431785266076
"25",25,0.04097837075,0.0253199755139907,0.00836011440647731,0.617886339807462,3.02866375780373,0.956881951095392,23.1291020947887,37.4326160083032
"30",30,0.04553507955,0.0269825565367575,0.00931051431478814,0.592566364293471,2.89807368577914,0.952247982181662,20.1004383369849,33.9209910453677
"35",35,0.0502682791,0.0284309247027552,0.0103022361473647,0.565583807756714,2.75968481949696,0.947998621077541,17.2023646512058,30.4152353997472
"40",40,0.0539782791,0.0289945882408562,0.0110828066178379,0.537152883053959,2.61617740349174,0.942681814251938,14.4426798317088,26.8874659102556
"45",45,0.0611428677,0.0310702553904151,0.0125983161863149,0.508158294813102,2.46622286112852,0.929765076855171,11.8265024282171,23.2732645495176
"50",50,0.0807261112,0.0385134621226258,0.0167960443240762,0.477088039422687,2.29300788801913,0.902957350173571,9.36027956708859,19.6196064324212
"55",55,0.11627114135,0.0509935666697719,0.0246287631846486,0.438574577300061,2.07048832649285,0.857842197659164,7.06727167906946,16.1141845534613
"60",60,0.17389138495,0.0673969987188217,0.0379455074769421,0.38758101063029,1.77615225622628,0.789243012168024,4.9967833525766,12.892229535319
"65",65,0.2591014013,0.0829601261601172,0.0591804777191898,0.320184011911468,1.40181575677306,0.694325989205515,3.22063109635033,10.0586880560446
"70",70,0.37377193995,0.0886676319797595,0.0910984003939652,0.237223885751351,0.973317112005331,0.564744276948269,1.81881533957727,7.66708349716387
"75",75,0.51995387685,0.0772424000788512,0.14052369550305,0.148556253771591,0.549675268660828,0.41018048192762,0.845498227571937,5.69143476700692
"80",80,0.664503576855198,0.047388310858154,0.21017934792643,0.0713138536927399,0.225466066602992,0.271837233185553,0.295822958911109,4.14818360799404
"85",85,0.814446620860923,0.0194860775138918,0.317932039663622,0.0239255428345859,0.0612900717225871,0.140415309690663,0.0703568923081166,2.9406602305554
"90",90,0.925567913177248,0.00410902665249765,0.477457111707793,0.00443946532069415,0.00860606440188999,0.0508178340238587,0.00906682058552954,2.04232265161874
"95",95,1,0.000330438668196503,0.726067861286659,0.000330438668196503,0.000455107140551483,0,0.000460756183639545,1.39437731714118
