"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.079035583472112,0.079035583472112,0.084159101371695,1,0.939121047919053,0.915314487160049,60.7156702001798,60.7156702001798
"1",1,0.0192020610170644,0.0176844149207136,0.00486175979688204,0.920964416527888,3.63745138788119,0.983000166261642,59.7765491522607,64.9064698695127
"5",5,0.00709677969759375,0.00641037917664825,0.00142491771944691,0.903280001607174,4.49877146530009,0.994301770321282,56.1390977643795,62.1502719693707
"10",10,0.00520870948123493,0.00467153330578547,0.00104435296722401,0.896869622430526,4.47313643221875,0.99280073480876,51.6403262990794,57.5784094003915
"15",15,0.00936699160084807,0.00835721200712414,0.00188185945378445,0.892198089124741,4.44093313680661,0.988641702839093,47.1671898668607,52.866275372919
"20",20,0.013535942839754,0.0119636195921021,0.00272489288523352,0.883840877117617,4.39049169856704,0.986392349890154,42.7262567300541,48.3415712445808
"25",25,0.0136863989252434,0.0119328599603414,0.00275538118315931,0.871877257525514,4.33074742372275,0.985648887396671,38.335765031487,43.9692223883534
"30",30,0.015081211512852,0.0129690033489725,0.00303823603711522,0.859944397565173,4.26859637978833,0.983210510053368,34.0050176077643,39.5432747792128
"35",35,0.0186684620929257,0.0158117280405659,0.00376745203563191,0.846975394216201,4.19692882378365,0.978049710280248,29.7364212279759,35.1089552672239
"40",40,0.0255732378520188,0.0212555461290654,0.00517821090761416,0.831163666175635,4.10480502016842,0.968659147643116,25.5394924041923,30.7273927428819
"45",45,0.0377530829006796,0.0305765283980517,0.00768997022008274,0.809908120046569,3.97615693207752,0.952669849619169,21.4346873840239,26.4655790619699
"50",50,0.0581123688036313,0.0452888048741997,0.011955972916336,0.779331591648518,3.78796482654451,0.928373145455222,17.4585304519464,22.4019283178504
"55",55,0.0871708455701675,0.0639871304077995,0.0181955055647483,0.734042786774318,3.51664482089287,0.893999543177449,13.6705656254019,18.6236631865506
"60",60,0.128347185588195,0.0859997576820934,0.0273546664546766,0.670055656366518,3.14387886339557,0.843849533468999,10.153920804509,15.153846860379
"65",65,0.190705762542633,0.111382825526136,0.0419843479082188,0.584055898684425,2.6529607121594,0.768196790224714,7.01004194111341,12.0023476466951
"70",70,0.286816865429032,0.135570609215968,0.0665215317516713,0.472673073158289,2.03799590367312,0.654009764170082,4.35708122895402,9.21795946581226
"75",75,0.418440251366531,0.141057239748302,0.105829767538806,0.337102463942321,1.33286922034085,0.513303244003259,2.3190853252809,6.87946714527039
"80",80,0.568335618343883,0.111419483715673,0.16285443635647,0.196045224194019,0.684166094633054,0.36003684168639,0.986216104940044,5.03055409278432
"85",85,0.733513127651445,0.0620740915780912,0.252000777846913,0.0846257404783462,0.246324999900597,0.207101821780196,0.30205001030699,3.56924510910812
"90",90,0.87527774008262,0.0197389562845519,0.386929439936133,0.022551648900255,0.0510143562294201,0.0845339308619099,0.0557250104063933,2.47099494377829
"95",95,1,0.0028126926157031,0.612499363571512,0.0028126926157031,0.00459215598086854,0,0.00471065417697326,1.674784564326
