"","age","nqx","dx","mx","lx","Lx","Px","Tx","ex"
"0",0,0.0773432054455462,0.0773432054455462,0.0818906012514973,1,0.944469869112507,0.911621442899427,64.9985331124426,64.9985331124426
"1",1,0.0306345859158901,0.0282652088436582,0.0078218166744814,0.922656794554454,3.61363734538463,0.977915114867364,64.0540632433301,69.4234992050988
"5",5,0.00590182341652702,0.00527854120409271,0.00118420862792108,0.894391585710796,4.45744194024272,0.995402959895161,60.4404258979455,67.5771405540582
"10",10,0.00403694525886364,0.00358930068961515,0.000808956594246858,0.889113044506703,4.43695090087844,0.995094840061415,55.9829839577027,62.9649787544881
"15",15,0.00584953824514418,0.00517990500644131,0.00117320173948213,0.885523743817088,4.41518694706998,0.993116864453967,51.5460330568243,58.2096566204232
"20",20,0.00800945440054543,0.00705107383375499,0.00160807317873203,0.880343838810646,4.38479661685222,0.991353013590065,47.1308461097543,53.5368614306753
"25",25,0.00934322255845659,0.00815936866186903,0.00187706266251309,0.873292764976891,4.34688134009597,0.990013256708721,42.7460494929021,48.9481319520988
"30",30,0.0106904657877398,0.00924867897513688,0.00214912120879098,0.865133396315022,4.30347015203478,0.988413381102248,38.3991681528061,44.3852570208997
"35",35,0.0125679422371858,0.0107567096892177,0.00252884398268575,0.855884717339886,4.25360748344531,0.985733559865304,34.0956980007713,39.8367879575438
"40",40,0.0161298993717179,0.0136318297196257,0.00325115143215617,0.845128007650668,4.19292364692624,0.981701598432391,29.842090517326,35.3107342877947
"45",45,0.0206861260352145,0.0172004347344806,0.00417871711208906,0.831496177931042,4.11619984629246,0.974746929952022,25.6491668703998,30.8470051350338
"50",50,0.0303050996495432,0.0246773136417707,0.00615048767805752,0.814295743196562,4.01225316324256,0.963522500382632,21.5329670241074,26.4436689053274
"55",55,0.0433732424220312,0.0342483115659835,0.00885908720618141,0.789618429554791,3.86589620001559,0.943744024710588,17.5207138608648,22.1888360315291
"60",60,0.070845044463054,0.0535142295949794,0.0146677964237213,0.755370117988807,3.64841643891609,0.907407779941873,13.6548176608492,18.0769894594262
"65",65,0.117947991006344,0.082782492012025,0.0250052726018891,0.701855888393828,3.31060146114028,0.842655446131972,10.0064012219331,14.2570595864521
"70",70,0.205731280876924,0.127362762794456,0.0456547045844485,0.619073396381803,2.78969635120232,0.730136697953436,6.69579976079283,10.8158415462959
"75",75,0.343041990123823,0.168677394310849,0.0828124763763827,0.491710633587347,2.03685968215961,0.590948802053501,3.90610340959051,7.94390672638695
"80",80,0.494047758920723,0.159593847921455,0.132588292470787,0.323033239276498,1.2036797891233,0.428499827262079,1.8692437274309,5.78653680227296
"85",85,0.670442748376645,0.109576754733081,0.212450038673821,0.163439391355042,0.515776581718189,0.258758476385568,0.665563938307604,4.07223700963122
"90",90,0.836089842607759,0.0450340033756948,0.337430512217222,0.0538626366219616,0.133461562440755,0.108993138809506,0.149787356589414,2.78091393187278
"95",95,1,0.0088286332462668,0.559915794785991,0.0088286332462668,0.0157677874574716,0,0.016325794148659,1.8491870364603
