Idade;l(x);22;23;ls(x)
0;1.0;1.0;1.0;1.0
1;0.9821;0.9690200418034001;0.97839381250045;0.9753004681704235
5;0.978;0.9630331767349091;0.975001916632832;0.9710522324665174
10;0.9762;0.9597103832333571;0.972802502628941;0.9684821032283983
15;0.9743;0.956987361249115;0.970938745416583;0.9663347886413185
20;0.9666;0.9519486309494279;0.96730828721478;0.9622396006472138
25;0.9532;0.9449611526454459;0.9622952010915591;0.9565749651043417
30;0.9403;0.937982063216707;0.95738283112269;0.9509805777137156
35;0.9279999999999999;0.930156088619591;0.9518765962749091;0.9447088287486541
40;0.9136;0.9201462255880051;0.944679687607707;0.9365836451412054
45;0.8971;0.905510305084794;0.933644650131624;0.9243603162661701
50;0.8756;0.882345223331841;0.914959770480875;0.9041969699216937
55;0.8455;0.8462549372849479;0.884316055812522;0.8717558866984226
60;0.8032;0.790449822689203;0.8342391441325301;0.8197886680562322
65;0.7437;0.7094245725082791;0.75897378025079;0.7426225416957614
70;0.6703;0.597258534059226;0.650464247201439;0.6329063618645088
75;0.564;0.45262965864805105;0.5048254172361251;0.48760081690206064
80;0.4371;0.28923882399959994;0.33327738160240805;0.31874465759348136
85;;0.14178940234665602;0.170922577127521;0.16130862944983557
90;;0.0452034028738185;0.0581098441437849;0.05385071852469599
95;;0.00722875702742187;0.0101680096500026;0.009198056284550959
